env,rung,transport,size_mib,reader,drain,expected_bytes,got_bytes,lost_bytes,sha_match,exit_code,stderr_len,seconds,verdict
k3s-docker-v1.36.4-k3s1-egress-agent,0,na,32,inpod,0,33554432,33554432,0,yes,0,0,0,complete
k3s-docker-v1.36.4-k3s1-egress-agent,0.5,na,32,slow,0,33554432,33554432,0,yes,0,0,33,complete
k3s-docker-v1.36.4-k3s1-egress-agent,0.5,na,32,slow,0,33554432,33554432,0,yes,0,0,33,complete
k3s-docker-v1.36.4-k3s1-egress-agent,0.5,na,32,slow,0,33554432,33554432,0,yes,0,0,33,complete
k3s-docker-v1.36.4-k3s1-egress-agent,0.5,na,32,slow,0,33554432,33554432,0,yes,0,0,32,complete
k3s-docker-v1.36.4-k3s1-egress-agent,0.5,na,32,slow,0,33554432,33554432,0,yes,0,0,33,complete
k3s-docker-v1.36.4-k3s1-egress-agent,1,na,32,slow,0,33554432,32201728,1352704,no,0,0,31,truncated
k3s-docker-v1.36.4-k3s1-egress-agent,1,na,32,slow,0,33554432,31937536,1616896,no,0,0,30,truncated
k3s-docker-v1.36.4-k3s1-egress-agent,1,na,32,slow,0,33554432,31993856,1560576,no,0,0,31,truncated
k3s-docker-v1.36.4-k3s1-egress-agent,1,na,32,slow,0,33554432,31927296,1627136,no,0,0,31,truncated
k3s-docker-v1.36.4-k3s1-egress-agent,1,na,32,slow,0,33554432,32014336,1540096,no,0,0,30,truncated
k3s-docker-v1.36.4-k3s1-egress-agent,3,ws,32,slow,0,33554432,27839488,5714944,no,1,443,27,truncated
k3s-docker-v1.36.4-k3s1-egress-agent,3,ws,32,slow,0,33554432,30490624,3063808,no,1,266,30,truncated
k3s-docker-v1.36.4-k3s1-egress-agent,3,ws,32,slow,0,33554432,27753472,5800960,no,1,443,27,truncated
k3s-docker-v1.36.4-k3s1-egress-agent,3,ws,32,slow,0,33554432,28082171,5472261,no,1,395,26,truncated
k3s-docker-v1.36.4-k3s1-egress-agent,3,ws,32,slow,0,33554432,29656059,3898373,no,1,269,29,truncated
k3s-docker-v1.36.4-k3s1-egress-agent,3,spdy,32,slow,0,33554432,33554432,0,yes,0,0,33,complete
k3s-docker-v1.36.4-k3s1-egress-agent,3,spdy,32,slow,0,33554432,33554432,0,yes,0,0,33,complete
k3s-docker-v1.36.4-k3s1-egress-agent,3,spdy,32,slow,0,33554432,27939840,5614592,no,0,0,26,truncated
k3s-docker-v1.36.4-k3s1-egress-agent,3,spdy,32,slow,0,33554432,33554432,0,yes,0,0,33,complete
k3s-docker-v1.36.4-k3s1-egress-agent,3,spdy,32,slow,0,33554432,33554432,0,yes,0,0,33,complete
k3s-docker-v1.36.4-k3s1-egress-disabled,4,ws,32,slow,0,33554432,33554432,0,yes,0,0,33,complete
k3s-docker-v1.36.4-k3s1-egress-disabled,4,ws,32,slow,0,33554432,33554432,0,yes,0,0,33,complete
k3s-docker-v1.36.4-k3s1-egress-disabled,4,ws,32,slow,0,33554432,32720896,833536,no,1,392,32,truncated
k3s-docker-v1.36.4-k3s1-egress-disabled,4,ws,32,slow,0,33554432,28055547,5498885,no,1,446,26,truncated
k3s-docker-v1.36.4-k3s1-egress-disabled,4,ws,32,slow,0,33554432,33554432,0,yes,0,0,33,complete
k3s-docker-v1.36.4-k3s1-egress-disabled,4,spdy,32,slow,0,33554432,31736832,1817600,no,0,0,31,truncated
k3s-docker-v1.36.4-k3s1-egress-disabled,4,spdy,32,slow,0,33554432,29706240,3848192,no,0,0,29,truncated
k3s-docker-v1.36.4-k3s1-egress-disabled,4,spdy,32,slow,0,33554432,33228800,325632,no,0,0,31,truncated
k3s-docker-v1.36.4-k3s1-egress-disabled,4,spdy,32,slow,0,33554432,30285824,3268608,no,0,0,29,truncated
k3s-docker-v1.36.4-k3s1-egress-disabled,4,spdy,32,slow,0,33554432,33554432,0,yes,0,0,33,complete
