env,rung,transport,size_mib,reader,drain,expected_bytes,got_bytes,lost_bytes,sha_match,exit_code,stderr_len,seconds,verdict
k3s-docker-v1.36.4-k3s1-egress-agent,0,na,32,inpod,0,33554432,33554432,0,yes,0,0,0,complete
k3s-docker-v1.36.4-k3s1-egress-agent,0.5,na,32,slow,0,33554432,33554432,0,yes,0,0,32,complete
k3s-docker-v1.36.4-k3s1-egress-agent,0.5,na,32,slow,0,33554432,33554432,0,yes,0,0,32,complete
k3s-docker-v1.36.4-k3s1-egress-agent,0.5,na,32,slow,0,33554432,33554432,0,yes,0,0,33,complete
k3s-docker-v1.36.4-k3s1-egress-agent,0.5,na,32,slow,0,33554432,33554432,0,yes,0,0,33,complete
k3s-docker-v1.36.4-k3s1-egress-agent,0.5,na,32,slow,0,33554432,33554432,0,yes,0,0,33,complete
k3s-docker-v1.36.4-k3s1-egress-agent,1,na,32,slow,0,33554432,33554432,0,yes,0,0,33,complete
k3s-docker-v1.36.4-k3s1-egress-agent,1,na,32,slow,0,33554432,33554432,0,yes,0,0,33,complete
k3s-docker-v1.36.4-k3s1-egress-agent,1,na,32,slow,0,33554432,33554432,0,yes,0,0,33,complete
k3s-docker-v1.36.4-k3s1-egress-agent,1,na,32,slow,0,33554432,33554432,0,yes,0,0,33,complete
k3s-docker-v1.36.4-k3s1-egress-agent,1,na,32,slow,0,33554432,33554432,0,yes,0,0,33,complete
k3s-docker-v1.36.4-k3s1-egress-agent,3,ws,32,slow,0,33554432,30370816,3183616,no,1,392,29,truncated
k3s-docker-v1.36.4-k3s1-egress-agent,3,ws,32,slow,0,33554432,29028352,4526080,no,1,392,28,truncated
k3s-docker-v1.36.4-k3s1-egress-agent,3,ws,32,slow,0,33554432,27972608,5581824,no,1,443,27,truncated
k3s-docker-v1.36.4-k3s1-egress-agent,3,ws,32,slow,0,33554432,28030976,5523456,no,1,392,26,truncated
k3s-docker-v1.36.4-k3s1-egress-agent,3,ws,32,slow,0,33554432,26068992,7485440,no,1,392,24,truncated
k3s-docker-v1.36.4-k3s1-egress-agent,3,spdy,32,slow,0,33554432,30201856,3352576,no,0,0,29,truncated
k3s-docker-v1.36.4-k3s1-egress-agent,3,spdy,32,slow,0,33554432,33554432,0,yes,0,0,33,complete
k3s-docker-v1.36.4-k3s1-egress-agent,3,spdy,32,slow,0,33554432,33554432,0,yes,0,0,33,complete
k3s-docker-v1.36.4-k3s1-egress-agent,3,spdy,32,slow,0,33554432,33554432,0,yes,0,0,33,complete
k3s-docker-v1.36.4-k3s1-egress-agent,3,spdy,32,slow,0,33554432,33554432,0,yes,0,0,33,complete
k3s-docker-v1.36.4-k3s1-egress-disabled,4,ws,32,slow,0,33554432,33550336,4096,no,0,0,32,truncated
k3s-docker-v1.36.4-k3s1-egress-disabled,4,ws,32,slow,0,33554432,31902720,1651712,no,0,0,30,truncated
k3s-docker-v1.36.4-k3s1-egress-disabled,4,ws,32,slow,0,33554432,31636480,1917952,no,0,0,30,truncated
k3s-docker-v1.36.4-k3s1-egress-disabled,4,ws,32,slow,0,33554432,32775168,779264,no,1,392,31,truncated
k3s-docker-v1.36.4-k3s1-egress-disabled,4,ws,32,slow,0,33554432,30850048,2704384,no,0,0,29,truncated
k3s-docker-v1.36.4-k3s1-egress-disabled,4,spdy,32,slow,0,33554432,31787008,1767424,no,0,0,31,truncated
k3s-docker-v1.36.4-k3s1-egress-disabled,4,spdy,32,slow,0,33554432,33554432,0,yes,0,0,33,complete
k3s-docker-v1.36.4-k3s1-egress-disabled,4,spdy,32,slow,0,33554432,32503808,1050624,no,0,0,31,truncated
k3s-docker-v1.36.4-k3s1-egress-disabled,4,spdy,32,slow,0,33554432,32168960,1385472,no,0,0,31,truncated
k3s-docker-v1.36.4-k3s1-egress-disabled,4,spdy,32,slow,0,33554432,31594496,1959936,no,0,0,31,truncated
