env,rung,transport,size_mib,reader,drain,expected_bytes,got_bytes,lost_bytes,sha_match,exit_code,stderr_len,seconds,verdict
k8s-a,5,ws,8,fast,0,8388608,8388608,0,yes,0,0,1,complete
k8s-a,5,ws,8,fast,0,8388608,8388608,0,yes,0,0,1,complete
k8s-a,5,ws,8,fast,0,8388608,8388608,0,yes,0,0,1,complete
k8s-a,5,ws,8,fast,5,8388608,8388608,0,yes,0,0,5,complete
k8s-a,5,ws,8,fast,5,8388608,8388608,0,yes,0,0,5,complete
k8s-a,5,ws,8,fast,5,8388608,8388608,0,yes,0,0,5,complete
k8s-a,5,spdy,8,fast,0,8388608,8388608,0,yes,0,0,1,complete
k8s-a,5,spdy,8,fast,0,8388608,8388608,0,yes,0,0,1,complete
k8s-a,5,spdy,8,fast,0,8388608,8388608,0,yes,0,0,1,complete
k8s-a,5,spdy,8,fast,5,8388608,8388608,0,yes,0,0,5,complete
k8s-a,5,spdy,8,fast,5,8388608,8388608,0,yes,0,0,5,complete
k8s-a,5,spdy,8,fast,5,8388608,8388608,0,yes,0,0,8,complete
k8s-a,5,ws,8,slow,0,8388608,8388608,0,yes,0,0,8,complete
k8s-a,5,ws,8,slow,0,8388608,8388608,0,yes,0,0,9,complete
k8s-a,5,ws,8,slow,0,8388608,8388608,0,yes,0,0,8,complete
k8s-a,5,ws,8,slow,5,8388608,8388608,0,yes,0,0,9,complete
k8s-a,5,ws,8,slow,5,8388608,8388608,0,yes,0,0,9,complete
k8s-a,5,ws,8,slow,5,8388608,8388608,0,yes,0,0,8,complete
k8s-a,5,spdy,8,slow,0,8388608,8388608,0,yes,0,0,10,complete
k8s-a,5,spdy,8,slow,0,8388608,8388608,0,yes,0,0,8,complete
k8s-a,5,spdy,8,slow,0,8388608,8000512,388096,no,0,0,9,truncated
k8s-a,5,spdy,8,slow,5,8388608,8388608,0,yes,0,0,8,complete
k8s-a,5,spdy,8,slow,5,8388608,8388608,0,yes,0,0,9,complete
k8s-a,5,spdy,8,slow,5,8388608,8388608,0,yes,0,0,9,complete
k8s-a,5,ws,32,fast,0,33554432,33554432,0,yes,0,0,3,complete
k8s-a,5,ws,32,fast,0,33554432,33554432,0,yes,0,0,3,complete
k8s-a,5,ws,32,fast,0,33554432,33554432,0,yes,0,0,3,complete
k8s-a,5,ws,32,fast,5,33554432,33554432,0,yes,0,0,7,complete
k8s-a,5,ws,32,fast,5,33554432,33554432,0,yes,0,0,5,complete
k8s-a,5,ws,32,fast,5,33554432,33554432,0,yes,0,0,6,complete
k8s-a,5,spdy,32,fast,0,33554432,33554432,0,yes,0,0,3,complete
k8s-a,5,spdy,32,fast,0,33554432,33554432,0,yes,0,0,3,complete
k8s-a,5,spdy,32,fast,0,33554432,33554432,0,yes,0,0,3,complete
k8s-a,5,spdy,32,fast,5,33554432,33554432,0,yes,0,0,8,complete
k8s-a,5,spdy,32,fast,5,33554432,33554432,0,yes,0,0,6,complete
k8s-a,5,spdy,32,fast,5,33554432,33554432,0,yes,0,0,6,complete
k8s-a,5,ws,32,slow,0,33554432,31151104,2403328,no,1,392,30,truncated
k8s-a,5,ws,32,slow,0,33554432,25421824,8132608,no,1,473,25,truncated
k8s-a,5,ws,32,slow,0,33554432,30020608,3533824,no,1,392,29,truncated
k8s-a,5,ws,32,slow,5,33554432,30551040,3003392,no,1,392,30,truncated
k8s-a,5,ws,32,slow,5,33554432,31473664,2080768,no,1,392,33,truncated
k8s-a,5,ws,32,slow,5,33554432,29270016,4284416,no,1,543,29,truncated
k8s-a,5,spdy,32,slow,0,33554432,33554432,0,yes,0,0,33,complete
k8s-a,5,spdy,32,slow,0,33554432,32322560,1231872,no,0,0,31,truncated
k8s-a,5,spdy,32,slow,0,33554432,27344896,6209536,no,0,0,27,truncated
k8s-a,5,spdy,32,slow,5,33554432,33554432,0,yes,0,0,33,complete
k8s-a,5,spdy,32,slow,5,33554432,33082368,472064,no,0,0,32,truncated
k8s-a,5,spdy,32,slow,5,33554432,33554432,0,yes,0,0,33,complete
k8s-a,5,ws,128,fast,0,134217728,134217728,0,yes,0,0,12,complete
k8s-a,5,ws,128,fast,0,134217728,134217728,0,yes,0,0,12,complete
k8s-a,5,ws,128,fast,0,134217728,134217728,0,yes,0,0,12,complete
k8s-a,5,ws,128,fast,5,134217728,134217728,0,yes,0,0,15,complete
k8s-a,5,ws,128,fast,5,134217728,134217728,0,yes,0,0,14,complete
k8s-a,5,ws,128,fast,5,134217728,134217728,0,yes,0,0,16,complete
k8s-a,5,spdy,128,fast,0,134217728,125359104,8858624,no,0,0,11,truncated
k8s-a,5,spdy,128,fast,0,134217728,127468544,6749184,no,0,0,11,truncated
k8s-a,5,spdy,128,fast,0,134217728,131161088,3056640,no,0,0,13,truncated
k8s-a,5,spdy,128,fast,5,134217728,134217728,0,yes,0,0,15,complete
k8s-a,5,spdy,128,fast,5,134217728,134217728,0,yes,0,0,14,complete
k8s-a,5,spdy,128,fast,5,134217728,134217728,0,yes,0,0,15,complete
k8s-a,5,ws,128,slow,0,134217728,132985856,1231872,no,1,392,129,truncated
k8s-a,5,ws,128,slow,0,134217728,128613376,5604352,no,1,392,126,truncated
k8s-a,5,ws,128,slow,0,134217728,127210496,7007232,no,1,392,124,truncated
k8s-a,5,ws,128,slow,5,134217728,127666171,6551557,no,1,395,124,truncated
k8s-a,5,ws,128,slow,5,134217728,133328896,888832,no,1,392,131,truncated
k8s-a,5,ws,128,slow,5,134217728,128651264,5566464,no,1,430,125,truncated
k8s-a,5,spdy,128,slow,0,134217728,125366272,8851456,no,0,0,122,truncated
k8s-a,5,spdy,128,slow,0,134217728,128774144,5443584,no,0,0,126,truncated
k8s-a,5,spdy,128,slow,0,134217728,129988608,4229120,no,0,0,126,truncated
k8s-a,5,spdy,128,slow,5,134217728,132907008,1310720,no,0,0,129,truncated
k8s-a,5,spdy,128,slow,5,134217728,134008832,208896,no,0,0,130,truncated
k8s-a,5,spdy,128,slow,5,134217728,132777984,1439744,no,0,0,130,truncated
