env,rung,transport,size_mib,reader,drain,expected_bytes,got_bytes,lost_bytes,sha_match,exit_code,stderr_len,seconds,verdict
kind-v1.37.0,1,na,32,slow,0,33554432,32166912,1387520,no,0,0,31,truncated
kind-v1.37.0,1,na,32,slow,0,33554432,32302080,1252352,no,0,0,30,truncated
kind-v1.37.0,1,na,32,slow,0,33554432,32520192,1034240,no,0,0,32,truncated
kind-v1.37.0,1,na,32,slow,0,33554432,32172032,1382400,no,0,0,30,truncated
kind-v1.37.0,1,na,32,slow,0,33554432,32417792,1136640,no,0,0,30,truncated
kind-v1.37.0,1,na,32,fast,0,33554432,33554432,0,yes,0,0,1,complete
kind-v1.37.0,1,na,32,fast,0,33554432,33554432,0,yes,0,0,0,complete
kind-v1.37.0,1,na,32,fast,0,33554432,33554432,0,yes,0,0,1,complete
kind-v1.37.0,1,na,32,fast,0,33554432,33554432,0,yes,0,0,0,complete
kind-v1.37.0,1,na,32,fast,0,33554432,33554432,0,yes,0,0,0,complete
