env,rung,transport,size_mib,reader,drain,expected_bytes,got_bytes,lost_bytes,sha_match,exit_code,stderr_len,seconds,verdict
kind-v1.37.0,3,ws,32,slow,0,33554432,33554432,0,yes,0,0,33,complete
kind-v1.37.0,3,ws,32,slow,0,33554432,30619648,2934784,no,1,266,29,truncated
kind-v1.37.0,3,ws,32,slow,0,33554432,31815680,1738752,no,1,266,31,truncated
kind-v1.37.0,3,ws,32,slow,0,33554432,32680960,873472,no,1,392,32,truncated
kind-v1.37.0,3,ws,32,slow,0,33554432,33554432,0,yes,0,0,33,complete
kind-v1.37.0,3,spdy,32,slow,0,33554432,33147904,406528,no,0,0,32,truncated
kind-v1.37.0,3,spdy,32,slow,0,33554432,30941184,2613248,no,0,0,29,truncated
kind-v1.37.0,3,spdy,32,slow,0,33554432,33172480,381952,no,0,0,32,truncated
kind-v1.37.0,3,spdy,32,slow,0,33554432,30908416,2646016,no,0,0,30,truncated
kind-v1.37.0,3,spdy,32,slow,0,33554432,30864384,2690048,no,0,0,30,truncated
